# qdac_multiple_set	qdac_ch01_curr_ucal	qdac_ch02_curr_ucal	qdac_ch03_curr_ucal	qdac_ch04_curr_ucal	qdac_ch05_curr_ucal	qdac_ch06_curr_ucal	qdac_ch07_curr_ucal	qdac_ch08_curr_ucal	qdac_ch09_curr_ucal	qdac_ch10_curr_ucal	qdac_ch11_curr_ucal	qdac_ch12_curr_ucal	qdac_ch13_curr_ucal	qdac_ch14_curr_ucal	qdac_ch15_curr_ucal	qdac_ch16_curr_ucal	qdac_ch17_curr_ucal	qdac_ch18_curr_ucal	qdac_ch19_curr_ucal	qdac_ch20_curr_ucal	qdac_ch21_curr_ucal	qdac_ch22_curr_ucal	qdac_ch23_curr_ucal	qdac_ch24_curr_ucal	timer
# "Voltage"	"ch1"	"ch2"	"ch3"	"ch4"	"ch5"	"ch6"	"ch7"	"ch8"	"ch9"	"ch10"	"ch11"	"ch12"	"ch13"	"ch14"	"ch15"	"ch16"	"ch17"	"ch18"	"ch19"	"ch20"	"ch21"	"ch22"	"ch23"	"ch24"	"Elapsed time"
# 1001
-10	-7.62232e-09	-7.59276e-09	3.7987e-09	1.31265e-10	-1.24667e-09	6.13224e-10	-7.33886e-09	-4.95024e-09	4.42232e-09	-4.6893e-09	-4.52264e-09	-9.77298e-09	-1.22184e-09	2.07252e-09	-1.7597e-10	6.84765e-10	-1.43419e-09	5.70043e-10	-9.54567e-09	-5.68083e-09	-3.72954e-09	6.70664e-09	-3.91169e-10	5.6752e-09	0.974641999986488
-9.98	-7.5963e-09	-7.57868e-09	3.78312e-09	1.25106e-10	-1.25531e-09	6.27107e-10	-7.31735e-09	-4.92993e-09	4.39803e-09	-4.67809e-09	-4.4972e-09	-9.72792e-09	-1.2136e-09	2.07185e-09	-1.7463e-10	6.78265e-10	-1.43882e-09	5.64004e-10	-9.51889e-09	-5.67157e-09	-3.71965e-09	6.67903e-09	-3.88399e-10	5.65206e-09	1.45482330000959
-9.96	-7.57478e-09	-7.56444e-09	3.7648e-09	1.27976e-10	-1.25235e-09	6.26426e-10	-7.3093e-09	-4.90921e-09	4.38621e-09	-4.66415e-09	-4.46776e-09	-9.69728e-09	-1.20568e-09	2.07075e-09	-1.79149e-10	6.65782e-10	-1.4356e-09	5.57349e-10	-9.48582e-09	-5.66223e-09	-3.70453e-09	6.65175e-09	-3.84624e-10	5.62942e-09	1.93460390000837
-9.94	-7.54616e-09	-7.54089e-09	3.75378e-09	1.20292e-10	-1.25231e-09	6.29007e-10	-7.28684e-09	-4.89439e-09	4.37164e-09	-4.6489e-09	-4.44095e-09	-9.65422e-09	-1.20287e-09	2.07537e-09	-1.8513e-10	6.6317e-10	-1.4357e-09	5.6971e-10	-9.46036e-09	-5.64908e-09	-3.70314e-09	6.62291e-09	-3.79369e-10	5.61156e-09	2.41454520000843
-9.92	-7.52827e-09	-7.52627e-09	3.74508e-09	1.18424e-10	-1.25531e-09	6.30808e-10	-7.25761e-09	-4.8786e-09	4.35853e-09	-4.63423e-09	-4.42102e-09	-9.61155e-09	-1.19439e-09	2.07201e-09	-1.82965e-10	6.61107e-10	-1.42934e-09	5.56449e-10	-9.43514e-09	-5.63744e-09	-3.69381e-09	6.60508e-09	-3.71354e-10	5.58769e-09	2.89456250000512
-9.9	-7.5028e-09	-7.51198e-09	3.72982e-09	1.22606e-10	-1.26103e-09	6.25898e-10	-7.24573e-09	-4.85731e-09	4.33625e-09	-4.6238e-09	-4.39107e-09	-9.57164e-09	-1.18578e-09	2.07624e-09	-1.9089e-10	6.56026e-10	-1.42172e-09	5.4887e-10	-9.4012e-09	-5.62193e-09	-3.68176e-09	6.5759e-09	-3.68979e-10	5.56023e-09	3.37445259996457
-9.88	-7.48461e-09	-7.48449e-09	3.7177e-09	1.2076e-10	-1.25854e-09	6.25376e-10	-7.22281e-09	-4.84641e-09	4.32125e-09	-4.61088e-09	-4.36205e-09	-9.54343e-09	-1.17544e-09	2.06473e-09	-1.87878e-10	6.40448e-10	-1.41496e-09	5.46041e-10	-9.37797e-09	-5.61614e-09	-3.66777e-09	6.54444e-09	-3.60218e-10	5.53893e-09	3.85452910000458
-9.86	-7.46437e-09	-7.47219e-09	3.70803e-09	1.15063e-10	-1.25359e-09	6.28307e-10	-7.21061e-09	-4.82594e-09	4.30547e-09	-4.59022e-09	-4.33837e-09	-9.50628e-09	-1.1634e-09	2.06679e-09	-1.89499e-10	6.44865e-10	-1.40693e-09	5.45125e-10	-9.35333e-09	-5.59123e-09	-3.66811e-09	6.51124e-09	-3.53288e-10	5.51317e-09	4.33447449997766
-9.84	-7.44592e-09	-7.45227e-09	3.69419e-09	1.09404e-10	-1.26042e-09	6.23591e-10	-7.18344e-09	-4.80851e-09	4.28904e-09	-4.57724e-09	-4.3178e-09	-9.47052e-09	-1.1614e-09	2.0607e-09	-1.86287e-10	6.31113e-10	-1.40828e-09	5.39414e-10	-9.31973e-09	-5.57892e-09	-3.66086e-09	6.48197e-09	-3.53703e-10	5.475e-09	4.81448369997088
-9.82	-7.42169e-09	-7.43485e-09	3.68676e-09	1.05898e-10	-1.26739e-09	6.18115e-10	-7.17064e-09	-4.78387e-09	4.27709e-09	-4.56177e-09	-4.28569e-09	-9.43193e-09	-1.15449e-09	2.05721e-09	-1.95673e-10	6.3497e-10	-1.40096e-09	5.35188e-10	-9.29439e-09	-5.56796e-09	-3.65428e-09	6.4598e-09	-3.49607e-10	5.46273e-09	5.29430569999386
